freq,sectperf,prof_pos,sex,unit,geo\TIME_PERIOD	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,BES,OTH,F,HC,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1722 	1958 	: 	2332 	2756 b	2526 	: 	2286 	: 	1959 b	: 	2451 	2352 e	2414 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,F,HC,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	76 	177 	97 	105 	80 	152 	128 	189 	205 	178 	130 	118 	150 	143 	97 	103 	103 	100 	97 	98 	151 	171 	151 	179 	: 	: 	: 
A,BES,OTH,F,HC,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1058 	: 	1390 	: 	1434 	: 	1315 	: 	1485 	: 	: 	: 	750 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,F,HC,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2589 	: 	3349 	: 	2808 	5348 b	5419 	6022 	6169 	6867 	7536 	8066 	7521 	6592 	6219 	5958 	5967 	5823 	5267 	5343 	5684 	6244 	6703 	5987 	6029 	6103 	6208 	: 
A,BES,OTH,F,HC,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7375 	7300 	6981 	7087 	6793 	6401 	6473 	: 	: 	5189 e	5013 p	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,F,HC,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	235 	165 	235 	137 	150 	182 	201 	226 	170 	144 	140 	160 	182 	170 	126 	114 	195 	187 	219 	269 	410 	361 	: 
A,BES,OTH,F,HC,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	427 	624 	770 	604 	511 	406 	454 	544 	576 	688 	815 	776 	1267 	1403 	1200 	1215 	976 	1128 	1333 b	1284 	1321 	1520 	1542 	1429 	: 
A,BES,OTH,F,HC,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	924 	739 	755 	800 	841 	877 	912 	978 	997 	1017 e	1242 	: 	1536 	: 	1538 	: 	1415 	: 	1464 	: 	2500 	: 	: 	: 
A,BES,OTH,F,HC,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	89 	: 	114 	: 	156 	: 	167 	130 	69 	72 	58 	: 	71 b	: 	157 b	: 	: 	: 	153 u	153 u	: 	: 	204 	218 u	159 	: 
A,BES,OTH,F,HC,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2101 	2729 	2995 	3274 	3860 	3552 	3747 	4422 	6515 	6455 	6850 	7211 	8906 	8082 	8822 	8783 	8940 	9099 	: 	: 	: 	: 	: 	: 	: 	20493 	: 
A,BES,OTH,F,HC,JP	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27770 d	26267 d	26538 d	28422 d	28723 d	29085 d	26715 d	26333 d	24597 d	25263 d	21963 d	22407 d	21384 d	22645 d	24782 d	23392 d	23902 d	24492 d	25774 d	27404 d	27198 d	32637 d	29367 d	: 
A,BES,OTH,F,HC,KR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3036 d	2845 d	3003 d	3144 d	3405 d	3750 d	4268 b	4526 	4885 	5397 	5680 	6243 	6041 	6688 	6810 	6906 	7290 	8293 	8655 	7822 	8935 	8636 	7999 	: 
A,BES,OTH,F,HC,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	80 	95 	53 	96 	191 	175 	138 	408 	135 	206 	170 	260 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,F,HC,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	243 	: 	617 e	: 	400 	: 	181 	: 	111 	: 	111 	: 	99 	: 	120 	: 	118 	: 	129 	: 
A,BES,OTH,F,HC,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	190 	102 	85 	78 	82 	121 	240 	668 	178 	171 	220 	219 	262 	257 	141 	178 	217 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,F,HC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20 	: 	31 	24 	20 d	: 	12 	24 	27 	: 	: 	: 	: 	: 
A,BES,OTH,F,HC,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2 	: 	: 	: 	1 	1 	3 	3 	: 	: 	46 	44 	9 	14 	19 	15 	: 	10 	: 	: 
A,BES,OTH,F,HC,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19 b	26 	31 	16 	19 	20 	38 	47 	47 	45 	66 	62 	76 	53 	53 	80 	80 	109 	110 	151 	: 
A,BES,OTH,F,HC,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2623 	: 	2083 	: 	2241 	: 	2482 	: 	2199 	: 	5754 b	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,F,HC,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2369 	: 	: 	1122 	1208 	1166 	1077 	1212 	1014 	681 	985 	1217 	1491 	1478 	1757 	2147 	: @C	3338 	: 	5095 	5899 	4969 	4638 	4997 	: 
A,BES,OTH,F,HC,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	216 	323 e	430 	399 e	367 	569 e	770 	593 	807 	696 	1076 	1033 	662 b	725 	904 	1070 	1179 	1425 	1604 	1955 	2269 	2685 	2910 	: 
A,BES,OTH,F,HC,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5186 	4383 	4671 	2127 	2109 	1923 	1840 	1828 	1482 	1733 	1236 	1341 	1230 	557 	1872 b	1709 	1558 	1435 	1360 	1384 	1681 	1261 	1339 	1143 	1305 	1083 	1051 	: 
A,BES,OTH,F,HC,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	333 	454 	203 	83 	116 	182 	366 	448 	425 	421 	188 	144 	136 	102 	113 	119 	463 
A,BES,OTH,F,HC,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4103 b	: 	3787 	: 	3226 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,F,HC,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	480 b	568 	574 	525 	540 	603 	301 	311 	320 	288 	215 	222 	220 	242 	230 	310 b	307 	338 	511 b	491 	448 	514 	515 	529 	861 	883 	990 	973 	1017 	979 	990 	: 
A,BES,OTH,F,HC,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	488 	403 	358 	314 	250 	218 	201 	192 	208 	182 	177 	173 	210 	241 	359 	305 	349 	390 	414 	417 	518 	652 	: 
A,BES,OTH,F,HC,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	579 	597 	518 	523 	273 	301 	395 	493 	500 	496 	708 	833 	909 	996 	1211 	1432 	1668 	2039 	2174 	2002 	2681 	3284 	3764 	3712 	4311 	5163 	5213 	: 
A,BES,OTH,F,HC,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10362 e	10927 e	12892 e	11113 e	10639 e	11825 	12467 	12209 	15214 	16020 	17764 	19965 	22064 	23764 	: 	: 	: 	: 	: 	: 
A,BES,OTH,T,FTE,AT	: 	3751 	: 	: 	3536 	3539 e	: 	: 	: 	3673 	: 	: 	: 	3200 	: 	: 	: 	: 	2349.9 	: 	: 	: 	2399.9 	: 	2484.9 	: 	3072 	3063.2 	: 	2711.2 	: 	3429.7 	: 	3286.2 	: 	3324.4 	: 	2930.7 	: 	3038.7 	: 	3858.8 	: 	3937.1 	: 
A,BES,OTH,T,FTE,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	158.1 	181.1 	111.2 	: 	: 	: 	: 	101.1 	78.1 	85 	: 	: 	: 
A,BES,OTH,T,FTE,BE	: 	: 	: 	: 	: 	5721 e	5687 	5912 	5536 	: 	: 	: 	4301.3 b	4479.1 	4510.1 	4672.3 	4836.6 	4939 	5320.1 	5490.2 	6352.6 	6521.3 	3975.1 	3906.2 	3292 	3436.1 	4438.1 	4676.1 	3616.1 	3099.9 	2443.2 	2630.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,T,FTE,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1652 	793 	637 	513 	399 	460 	216 	300 	251 	243 	251 	270 	240 	302 	259 	315 	389 	313 	224 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,BES,OTH,T,FTE,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8000 	: 	: 	: 	4000 	: 	: 	: 	4430 	: 	: 	: 	4320 	: 	: 	: 	9020.3 	: 	: 	: 	10945 	: 	: 	8499 	: 	7707 	: 	7443 	: 	6737 	: 	9010 	: 
A,BES,OTH,T,FTE,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7 	7 	: 	: 	: 	: 	: 	15 	23 	24 	20.4 	23.9 	28.8 	30.4 	34.3 	45.8 	31.4 	28.2 	24 	21.1 	16.6 	13.9 	18.4 	17.8 	18.7 	50.5 	41.4 	62.4 	68.9 	73.3 	73 	: 	71.5 	: 
A,BES,OTH,T,FTE,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1998 	1953 	1869 	1953 	1880 	1564 	1611 	1557 	1521 	1664.3 	2848.6 b	2961.5 	3142.8 	3236.5 	3347.5 	4000 	4494.3 	5047.4 	4650.2 	4486.7 	4703 	4924.1 	5325 	5521.8 	5903.8 	5851.5 	5619.2 	5598.1 	5979.7 	6040.7 p
