"Indicator","Economy","Unit of Measure","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","Definition","Data Coverage","Calendar Year","Base Year","Source","Footnotes"
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","KOR-Incheon","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","KOR-Gwangju","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","KOR-Daejeon","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","KOR-Ulsan","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","KOR-Sejong","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","KOR-Gyeonggi-do","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","KOR-Gangwon-do","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","KOR-Chungcheongbuk-do","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","KOR-Chungcheongnam-do","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","KOR-Jeollabuk-do","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","KOR-Jeollanam-do","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","KOR-Gyeongsangbuk-do","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Adult (15 Years and Older) Literacy Rate, Both Sexes (%)","KOR-Gyeongsangnam-do","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
