"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Brunéi Darussalam","BRN","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","1394","1434","1475","1518","1562","1604","1648","1698","1748","1796","1851","1927","2023","2130","2237","2342","2441","2531","2618","2700","2771","2841","2910","2980","3064","3151","3235","3311","3378","3440","3497","3553","3611","3680","3768","3868","3976","4073","4161","4251","4350","4461","4590","4741","4921","5131","5367","5649","5957","6239","6482","6715","7009","7394","7851","8378","8985","9662","10382","11130","11904","12629","13280","14016","14868",
"Bhoutan","BTN","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","2655","2723","2802","2888","2976","3068","3168","3272","3385","3505","3633","3773","3919","4071","4235","4408","4591","4786","4992","5212","5444","5683","5935","6205","6488","6789","7109","7448","7804","8179","8563","8893","8758","8615","8818","8937","9189","9606","10059","10743","11641","12561","13495","14428","15345","16092","16585","16992","17432","17908","18419","18957","19514","20094","20701","21351","22049","22477","22664","22950","23342","23820","24351","24908","25482",
"Botswana","BWA","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","8263","8276","8249","8214","8215","8268","8370","8526","8702","8849","8951","9016","9065","9130","9227","9369","9557","9795","10128","10568","11036","11505","12016","12581","13220","13938","14734","15601","16453","17213","17892","18488","19007","19496","19993","20528","21111","21732","22374","23017","23636","24225","24794","25334","25839","26313","26776","27248","27736","28249","28790","29326","29906","30625","31637","32931","34317","35747","37196","38642","39925","40543","41562","43412","44968",
"République centrafricaine","CAF","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","34203","34598","35094","35650","36211","36754","37284","37805","38337","38899","39474","40045","40620","41219","41849","42495","43134","43692","44109","44373","44492","44460","44283","43989","43607","43166","42676","42140","41615","41227","41044","41042","41229","41575","41998","42263","42532","43002","43548","44190","44881","45253","45712","46449","47107","47870","48526","49210","50146","46103","41934","42628","43187","43553","43218","43884","46117","47946","49774","50356","50634","51145","47908","46126","48348",
"Canada","CAN","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","664611","674283","682638","690394","698884","707860","717527","727762","738626","749961","762328","787555","802217","819530","838661","860413","884296","909333","934649","961314","989844","1015318","1038407","1059049","1082995","1112315","1146087","1184654","1220866","1261849","1301923","1339894","1375409","1408540","1441976","1475858","1511718","1548486","1581798","1612156","1644020","1678565","1712980","1746487","1783460","1824505","1873175","1926712","1986487","2051588","2122288","2203044","2300605","2402205","2501170","2593324","2694250","2796206","2906706","3025781","3144495","3255063","3400089","3581857","3778909",
"Europe centrale et les pays baltes","CEB","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","2632777","2716259","2802933","2900794","3012681","3139230","3279261","3422415","3560027","3684981","3796325","3905696","4034891","4168810","4297599","4424984","4537338","4642021","4725501","4784134","4786813","4706605","4583936","4444546","4372834","4386514","4428681","4494227","4589058","4670939","4738263","4807240","4879191","4980522","5091323","5205062","5312732","5411774","5503385","5585591","5645436","5690487","5737969","5794926","5850807","5906496","5957073","5989511","6018459","6060238","6092789","6177263","6313231","6456580","6627063","6812888","6998451","7181265","7364924","7555549","7699632","7760458","7872490","8037386","8205738",
"Suisse","CHE","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","226705","231686","236758","240850","245875","251708","257713","264818","271547","277781","284440","291489","298937","306728","314426","321790","328231","334589","341024","346928","351251","353734","355917","357652","359733","364030","370050","375837","381009","385650","390050","394202","398368","402919","407953","413601","419382","425390","431766","438993","446962","455113","463005","470842","479936","489726","501018","515281","531534","548800","564793","581679","600057","618166","635789","652347","667826","682614","696958","711619","725439","740043","760083","788256","818373",
"Îles Anglo-Normandes","CHI","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","5648","5720","5787","5856","5947","6054","6157","6266","6393","6525","6663","6792","6906","7020","7127","7225","7343","7491","7636","7745","7796","7804","7803","7793","7817","7882","7949","8022","8082","8137","8237","8343","8384","8376","8377","8416","8469","8537","8635","8757","8899","9063","9256","9478","9719","9941","10108","10256","10437","10664","10897","11246","11727","12149","12506","12852","13176","13469","13755","14055","14368","14619","14823","15082","15382",
"Chili","CHL","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","122426","127182","132053","136969","141705","146263","150719","154991","159061","163226","167442","171683","176235","181224","186586","192370","198749","205703","212907","220352","228115","235857","243555","251638","260380","270159","281158","293371","307170","323216","341397","361569","383650","406608","429100","450531","471087","490762","510073","529615","549414","569448","589507","609438","629605","649882","670218","691102","712827","736016","760099","785157","812253","842402","875446","910699","948514","988919","1031057","1073242","1110339","1144359","1182002","1226641","1276376",
"Chine","CHN","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","11151978","10744560","10629249","10666263","10676098","10762570","10991222","11287179","11636761","12018997","12426694","12878659","13336204","13821396","14358589","14903694","15426621","15966521","16616305","17361392","18087822","18778000","19482533","20183363","20901272","21706183","22568752","23431952","24338738","25353410","26412050","27450751","28566111","29821530","31128221","32495644","33903408","35348522","36955567","38612803","40194184","41737993","43258189","44724020","46041129","47305850","48624698","49884402","51033314","52169754","53422425","54926182","56738063","58783979","61045089","63737152","66735874","70097905","73683173","77305638","81100253","84629178","88159720","91238067","93044774",
"Côte d'Ivoire","CIV","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","41755","43806","45972","48209","50499","52845","55251","57729","60305","63053","66065","69372","72945","76703","80586","84606","88012","90850","93912","97165","100556","104033","107588","111222","115134","119357","123709","128180","132767","138211","144654","151467","158601","165996","173574","181227","188887","196515","203903","209528","213455","217182","220777","224160","227269","230117","232757","235290","241421","251488","262326","274217","287495","302890","313187","317929","324279","331903","340695","350698","360282","370385","383316","397915","413305",
"Cameroun","CMR","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","90230","91366","93331","96121","98912","101716","104553","107432","110364","113371","116454","119627","122874","126150","129428","132701","135821","138778","141853","144967","148575","152448","154895","157051","160273","163758","167221","170689","174123","177530","181009","184472","187909","191397","194880","198336","201823","205336","208903","212517","216149","219925","223972","228140","232228","236248","240378","244897","249810","254962","260334","265809","271126","276041","281482","287922","294677","301527","308898","317135","324912","332232","340984","351870","364056",
"Congo, République démocratique du","COD","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","182261","185883","189627","193657","197795","202256","207466","213208","219203","225450","231977","238568","245409","252773","260461","268426","276532","284852","295428","307651","318781","329473","340928","353422","366987","380752","394141","408072","422855","438180","455106","472821","491577","512063","539896","564467","575234","585890","605262","629062","652815","677747","703108","728877","756185","785512","815858","846905","879216","913504","950034","988616","1028217","1067534","1104706","1140255","1179940","1222594","1263100","1303496","1342911","1381076","1423369","1472161","1524685",
"Congo, République du","COG","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","16739","17314","17950","18619","19283","19928","20552","21158","21752","22341","22931","23520","24109","24698","25288","25786","26178","26562","26928","27221","27473","27759","28195","28831","29741","30808","31758","32614","33332","33848","34324","34932","35728","36689","37596","38422","39242","39642","40023","40769","42131","43590","44545","45772","47228","48724","50276","51752","52917","54429","56083","57312","58462","59535","60714","62109","63778","65642","67652","69865","72221","74883","78154","81954","86090",
"Colombie","COL","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","193984","198002","202237","206881","212227","218352","225258","232998","241365","250106","259298","268981","279058","289711","301204","313597","327177","342380","358770","375176","391257","407280","423593","440025","456110","470217","484595","501182","518212","535949","554501","573626","593008","612716","632916","653655","675408","698893","724041","749736","775184","800818","827278","855342","885644","918281","955865","999284","1047712","1099776","1153838","1211438","1273401","1338633","1409642","1484705","1559358","1639480","1728154","1822095","1906641","1976281","2060933","2171169","2291734",
"Comores","COM","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","3196","3300","3409","3529","3662","3813","3954","4082","4226","4401","4611","4859","5150","5477","5835","6207","6555","6860","7112","7292","7377","7470","7632","7793","7953","8119","8294","8484","8690","8905","9142","9453","9789","10093","10401","10707","11015","11318","11613","11792","11798","11689","11494","11480","11737","12091","12489","12865","13169","13376","13523","13660","13814","14072","14478","14970","15495","15900","16192","16504","16752","16919","17161","17496","17761",
"Cabo Verde","CPV","Population âgée de plus de 65 ans, hommes","SP.POP.65UP.MA.IN","2684","2815","3054","3421","3829","4285","4791","5352","5968","6625","7135","7453","7725","7964","8166","8268","8262","8195","8073","7894","7759","7698","7634","7570","7510","7455","7409","7372","7350","7340","7378","7471","7589","7728","7877","8030","8180","8329","8472","8604","8738","8890","9060","9232","9392","9515","9593","9620","9592","9515","9421","9367","9376","9455","9607","9832","10123","10471","10854","11280","11676","12077","12633","13328","14126",
