"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Botswana","BWA","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","13957","14057","14096","14109","14158","14267","14441","14684","14958","15198","15382","15516","15608","15689","15781","15884","16007","16163","16392","16728","17102","17498","17957","18492","19124","19847","20683","21622","22568","23440","24240","24979","25661","26334","27054","27842","28698","29612","30559","31504","32427","33328","34206","35049","35845","36597","37310","38014","38732","39488","40307","41135","41962","42870","44066","45530","47022","48456","49803","51039","52119","52370","53110","55046","56783",
"République centrafricaine","CAF","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","40223","40601","41105","41701","42323","42943","43565","44188","44834","45530","46272","47042","47850","48709","49615","50559","51307","51768","52064","52166","52062","51733","51180","50429","49551","48595","47554","46434","45382","44669","44254","43939","43733","43634","43603","43471","43353","43392","43502","43707","43954","43972","44083","44437","44782","45270","45735","46302","47136","44313","41552","42576","43552","44440","44946","46565","49665","52599","55705","57861","59983","62434","61378","61831","66319",
"Canada","CAN","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","699457","718664","737476","756474","777162","799737","824385","849811","875523","901270","926770","966482","993420","1023926","1056106","1091505","1130616","1172324","1215321","1260655","1309356","1354987","1397433","1436835","1480783","1531390","1585961","1643898","1697171","1756058","1810457","1859914","1906511","1948886","1989297","2028417","2068061","2106484","2140197","2171041","2202838","2237199","2271843","2305201","2342009","2382091","2430170","2482845","2542103","2606799","2675741","2751996","2844163","2940170","3034780","3123038","3223625","3328096","3443716","3569441","3695111","3812528","3974668","4177552","4396064",
"Europe centrale et les pays baltes","CEB","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","4006072","4143546","4280478","4427646","4588791","4764898","4951468","5133429","5306291","5466117","5612956","5763994","5940710","6120951","6302872","6491012","6668487","6847412","7005032","7135161","7197358","7154035","7051149","6921086","6878730","6943203","7045681","7184967","7347541","7487129","7618469","7750272","7875854","8026557","8184372","8342133","8492463","8636427","8775308","8905787","9001366","9079390","9168512","9277374","9382990","9481202","9570369","9635601","9692570","9770316","9823074","9918337","10070600","10232996","10433011","10649592","10866713","11081701","11294295","11515847","11687719","11772935","11917834","12111843","12310058",
"Suisse","CHE","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","318073","326883","336090","344450","353976","364179","374575","385851","396496","406569","417322","428127","439144","451111","463352","475235","486167","496879","507250","516675","524042","528806","532600","535811","539840","546878","555951","564669","572993","581286","589106","596578","603528","610178","617229","624233","630378","635889","641892","648208","654613","662182","668798","674141","681088","689287","699054","710890","724367","738680","752111","767450","783610","799132","814767","829320","842606","855661","868621","881852","894351","907556","926756","954964","984459",
"Îles Anglo-Normandes","CHI","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","8924","9107","9256","9401","9563","9734","9892","10024","10152","10303","10471","10645","10788","10919","11068","11214","11371","11539","11687","11798","11869","11917","11928","11908","11959","12106","12245","12342","12453","12576","12643","12644","12621","12602","12565","12522","12509","12485","12473","12491","12500","12550","12665","12788","12924","13060","13158","13233","13352","13536","13737","14039","14438","14799","15127","15453","15778","16111","16440","16730","16994","17239","17523","17893","18294",
"Chili","CHL","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","149814","156580","163501","170594","177677","184701","191757","198761","205691","212793","220066","227522","235453","244066","253201","262862","273161","284012","295153","306461","318026","329619","341319","353523","366545","380555","395422","411241","428608","448201","469986","494042","520180","547301","574042","599806","624471","647996","671144","694553","718299","742289","766480","789877","812783","836185","859559","882930","906749","931462","957646","985336","1014464","1046350","1081501","1119596","1160418","1203456","1248153","1293084","1335554","1376488","1418567","1465306","1517391",
"Chine","CHN","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","15303794","14889921","14828569","14957890","15071007","15307122","15719989","16190047","16717897","17296519","17914894","18570453","19193976","19850949","20585940","21308711","21955502","22587061","23341534","24201070","25040422","25855841","26689468","27507882","28335259","29235771","30175974","31106981","32091062","33179993","34265376","35297875","36399816","37662188","39015238","40435116","41889664","43389428","45048737","46755003","48411622","50007120","51512266","52931890","54239449","55552814","56963063","58348040","59646286","60963102","62442512","64232738","66347000","68764418","71561625","74985982","78854392","83219915","87861604","92487638","97336695","101883426","106465255","110720269","113585198",
"Côte d'Ivoire","CIV","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","46923","48669","50505","52417","54396","56446","58576","60787","63086","65507","68083","70831","73746","76811","80021","83385","86718","90094","93775","97727","101916","106287","110782","115378","120272","125457","130726","136069","141546","147391","153646","160179","166963","173932","180991","188042","195017","201857","208309","213165","216554","219655","222484","224840","226717","228325","229611","230662","235614","245164","256249","269136","284083","301639","313305","318265","324599","332143","340858","350863","361471","372837","386535","402494","419849",
"Cameroun","CMR","Population âgée de plus de 65 ans, femmes","SP.POP.65UP.FE.IN","111710","114699","117758","120897","124090","127337","130654","134060","137564","141164","144870","148700","152634","156654","160735","164819","168794","172667","176651","180698","185124","189774","193423","196937","201432","206255","211062","215920","220806","225682","230622","235553","240478","245471","250453","255395","260346","265317","270291","275222","280072","284977","290130","295384","300478","305331","310093","315036","320208","325572","331193","336949","342591","347742","353224","359863","367195","374959","383488","393031","402916","412286","422557","435426","449894",
