indicatorId,geoUnit,year,type,subtype,value
ILLPOP.AG15T99,BFA,2018,Data Status,Data reporting,Literacy definition: Can (Name of a person) read a short text? Can (Name of a person) write a short text?
ILLPOP.AG15T99,BFA,2018,Source,Data sources,Source: Harmonized survey on household living conditions 2018 (EHCVM-2018)
ILLPOP.AG15T99,BFA,2019,Data Status,Data reporting,Literacy definition: Can (Name of a person) read and write fluently in any language?  a-None; b-French; c-Arabic; d-English; e-Moore; F-Gourmantchema; g-Dioula; h-Fulfude; i-Dagara; j-Other national language; k-Other foreign language
ILLPOP.AG15T99,BFA,2019,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BGD,1991,Data Status,Data reporting,"Literacy definition: A person is defined as literate if he or she can, with understanding, both read and write a short, simple statement on his or her everyday life."
ILLPOP.AG15T99,BGD,1991,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BGD,2001,Data Status,Data reporting,Literacy definition: A person who is able to write a letter in any language has been considered as literate.
ILLPOP.AG15T99,BGD,2001,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BGD,2007,Data Status,Data reporting,Literacy definition: UIS estimate based on 2007 Demographic and Health Survey data with assessment of reading skills of male population 15-54 years and female population 15-49 years. Literacy rates based on a reading assessment are likely to be lower than literacy rates based on self- or household declaration.
ILLPOP.AG15T99,BGD,2007,Source,Data sources,Source: UIS estimates: DHS/GALP
ILLPOP.AG15T99,BGD,2011,Data Status,Data reporting,Literacy definition: A literate is a person who can read and write a letter for any communication in Bangla.
ILLPOP.AG15T99,BGD,2011,Source,Data sources,Source: Sample Vital Registration System (SVRS)
ILLPOP.AG15T99,BGD,2012,Data Status,Data reporting,Literacy definition: A literate is a person who can read and write a letter for any communication in Bangla.
ILLPOP.AG15T99,BGD,2012,Source,Data sources,Source: Sample Vital Registration System (SVRS)
ILLPOP.AG15T99,BGD,2013,Data Status,Data reporting,Literacy definition: A literate is a person who can read and write a letter for any communication in Bangla.
ILLPOP.AG15T99,BGD,2013,Source,Data sources,Source: Sample Vital Registration System (SVRS)
